condition,axis,mag,protocol,nds,map6,rrs
VR,roll,8,CAM_FRONT_LEFT,0.5203,0.4574,0.9380
VR,roll,8,CAM_BACK_LEFT,0.5263,0.4650,0.9489
VR,roll,8,all,0.3014,0.1281,0.5434
VR,roll,12,CAM_FRONT_RIGHT,0.5419,0.4913,0.9770
VR,roll,12,CAM_BACK,0.4579,0.3401,0.8256
VR,roll,12,CAM_BACK_RIGHT,0.5403,0.4862,0.9740
VR,roll,16,CAM_FRONT,0.4823,0.3871,0.8696
VR,roll,16,CAM_FRONT_LEFT,0.5165,0.4522,0.9313
VR,roll,16,CAM_BACK_LEFT,0.5181,0.4505,0.9341
VR,roll,16,all,0.2483,0.0687,0.4477
VR,roll,20,CAM_FRONT_RIGHT,0.5386,0.4855,0.9710
VR,roll,20,CAM_BACK,0.4548,0.3406,0.8199
VR,roll,20,CAM_BACK_RIGHT,0.5415,0.4857,0.9763
CR,yaw,-20,CAM_FRONT,0.5504,0.5110,0.9923
CR,yaw,-20,CAM_FRONT_LEFT,0.5500,0.5070,0.9916
CR,yaw,-20,CAM_BACK_LEFT,0.5545,0.5112,0.9998
CR,yaw,-20,all,0.5370,0.4831,0.9682
CR,yaw,-16,CAM_FRONT_RIGHT,0.5539,0.5110,0.9987
CR,yaw,-16,CAM_BACK,0.5336,0.4828,0.9621
CR,yaw,-16,CAM_BACK_RIGHT,0.5580,0.5114,1.0060
CR,yaw,-12,CAM_FRONT,0.5535,0.5141,0.9980
CR,yaw,-12,CAM_FRONT_LEFT,0.5502,0.5064,0.9920
CR,yaw,-12,CAM_BACK_LEFT,0.5554,0.5114,1.0013
CR,yaw,-12,all,0.5423,0.4883,0.9778
CR,yaw,-8,CAM_FRONT_RIGHT,0.5541,0.5120,0.9991
CR,yaw,-8,CAM_BACK,0.5437,0.5000,0.9803
CR,yaw,-8,CAM_BACK_RIGHT,0.5553,0.5120,1.0012
CR,yaw,-4,CAM_FRONT,0.5529,0.5112,0.9969
CR,yaw,-4,CAM_FRONT_LEFT,0.5531,0.5095,0.9972
CR,yaw,-4,CAM_BACK_LEFT,0.5556,0.5115,1.0018
