condition,axis,mag,protocol,nds,map6,rrs
VR,pitch,-20,all,0.0477,0.0039,0.0866
VR,pitch,-16,CAM_FRONT_RIGHT,0.5314,0.4710,0.9649
VR,pitch,-16,CAM_BACK,0.4589,0.3489,0.8331
VR,pitch,-16,CAM_BACK_RIGHT,0.5337,0.4720,0.9691
VR,pitch,-12,CAM_FRONT,0.4783,0.3741,0.8684
VR,pitch,-12,CAM_FRONT_LEFT,0.5136,0.4398,0.9324
VR,pitch,-12,CAM_BACK_LEFT,0.4940,0.4019,0.8970
VR,pitch,-12,all,0.0543,0.0174,0.0985
VR,pitch,-8,CAM_FRONT_RIGHT,0.5282,0.4638,0.9591
VR,pitch,-8,CAM_BACK,0.4461,0.3260,0.8100
VR,pitch,-8,CAM_BACK_RIGHT,0.5381,0.4743,0.9770
VR,pitch,-4,CAM_FRONT,0.4653,0.3503,0.8448
VR,pitch,-4,CAM_FRONT_LEFT,0.5085,0.4283,0.9234
VR,pitch,-4,CAM_BACK_LEFT,0.5005,0.4132,0.9088
VR,pitch,-4,all,0.2337,0.0456,0.4244
VR,pitch,4,CAM_FRONT_RIGHT,0.5410,0.4863,0.9823
VR,pitch,4,CAM_BACK,0.4597,0.3699,0.8347
VR,pitch,4,CAM_BACK_RIGHT,0.5381,0.4841,0.9771
VR,pitch,8,CAM_FRONT,0.4766,0.3733,0.8653
VR,pitch,8,CAM_FRONT_LEFT,0.5169,0.4485,0.9386
VR,pitch,8,CAM_BACK_LEFT,0.4986,0.4205,0.9053
VR,pitch,8,all,0.1392,0.0213,0.2528
VR,pitch,12,CAM_FRONT_RIGHT,0.5352,0.4782,0.9717
VR,pitch,12,CAM_BACK,0.4579,0.3554,0.8314
VR,pitch,12,CAM_BACK_RIGHT,0.5337,0.4699,0.9690
VR,pitch,16,CAM_FRONT,0.4778,0.3768,0.8675
VR,pitch,16,CAM_FRONT_LEFT,0.5172,0.4484,0.9391
VR,pitch,16,CAM_BACK_LEFT,0.5004,0.4156,0.9087
VR,pitch,16,all,0.0324,0.0049,0.0587
VR,pitch,20,CAM_FRONT_RIGHT,0.5314,0.4694,0.9648
VR,pitch,20,CAM_BACK,0.4528,0.3528,0.8222
VR,pitch,20,CAM_BACK_RIGHT,0.5301,0.4598,0.9625
VR,roll,-20,CAM_FRONT,0.4745,0.3726,0.8615
VR,roll,-20,CAM_FRONT_LEFT,0.5183,0.4533,0.9411
VR,roll,-20,CAM_BACK_LEFT,0.5132,0.4375,0.9317
VR,roll,-20,all,0.2169,0.0356,0.3938
VR,roll,-16,CAM_FRONT_RIGHT,0.5355,0.4804,0.9722
VR,roll,-16,CAM_BACK,0.4481,0.3381,0.8136
VR,roll,-16,CAM_BACK_RIGHT,0.5434,0.4824,0.9866
VR,roll,-12,CAM_FRONT,0.4717,0.3668,0.8565
VR,roll,-12,CAM_FRONT_LEFT,0.5196,0.4561,0.9434
VR,roll,-12,CAM_BACK_LEFT,0.5212,0.4493,0.9463
VR,roll,-12,all,0.2749,0.0759,0.4991
VR,roll,-8,CAM_FRONT_RIGHT,0.5383,0.4841,0.9773
VR,roll,-8,CAM_BACK,0.4577,0.3528,0.8310
VR,roll,-8,CAM_BACK_RIGHT,0.5506,0.4964,0.9997
VR,roll,-4,CAM_FRONT,0.5017,0.4254,0.9110
VR,roll,-4,CAM_FRONT_LEFT,0.5280,0.4698,0.9587
VR,roll,-4,CAM_BACK_LEFT,0.5298,0.4668,0.9619
VR,roll,-4,all,0.3973,0.2569,0.7214
VR,roll,4,CAM_FRONT_RIGHT,0.5433,0.4951,0.9865
VR,roll,4,CAM_BACK,0.4828,0.3942,0.8767
VR,roll,4,CAM_BACK_RIGHT,0.5436,0.4901,0.9870
VR,roll,8,CAM_FRONT,0.4766,0.3781,0.8653
VR,roll,8,CAM_FRONT_LEFT,0.5193,0.4526,0.9430
VR,roll,8,CAM_BACK_LEFT,0.5236,0.4579,0.9507
VR,roll,8,all,0.3043,0.1302,0.5525
VR,roll,12,CAM_FRONT_RIGHT,0.5389,0.4863,0.9785
VR,roll,12,CAM_BACK,0.4558,0.3399,0.8277
VR,roll,12,CAM_BACK_RIGHT,0.5385,0.4801,0.9777
VR,roll,16,CAM_FRONT,0.4790,0.3814,0.8697
VR,roll,16,CAM_FRONT_LEFT,0.5128,0.4438,0.9311
VR,roll,16,CAM_BACK_LEFT,0.5158,0.4460,0.9365
VR,roll,16,all,0.2515,0.0673,0.4566
VR,roll,20,CAM_FRONT_RIGHT,0.5371,0.4822,0.9752
VR,roll,20,CAM_BACK,0.4516,0.3373,0.8199
VR,roll,20,CAM_BACK_RIGHT,0.5419,0.4840,0.9839
CR,yaw,-20,CAM_FRONT,0.5507,0.5106,0.9998
CR,yaw,-20,CAM_FRONT_LEFT,0.5502,0.5072,0.9990
CR,yaw,-20,CAM_BACK_LEFT,0.5521,0.5062,1.0023
