condition,axis,signed_mag,protocol,nds,map6,mATE,mASE,mAOE,mAVE,mAAE,nds_10class,map_10class,rrs
ER,pitch,-12,CAM_BACK_RIGHT,0.4815,0.4239,0.6006,0.1440,0.4055,2.5574,0.1544,0.3055,0.2543,0.9827
ER,pitch,-8,all,0.3531,0.2599,0.8108,0.2113,0.5301,2.6310,0.2163,0.2267,0.1559,0.7206
ER,pitch,-8,CAM_FRONT,0.4644,0.4000,0.6295,0.1535,0.4192,2.3533,0.1534,0.2952,0.2400,0.9479
ER,pitch,-8,CAM_FRONT_RIGHT,0.4847,0.4311,0.6087,0.1473,0.4030,2.3821,0.1489,0.3076,0.2587,0.9893
ER,pitch,-8,CAM_FRONT_LEFT,0.4703,0.4159,0.6185,0.1480,0.4612,2.6657,0.1491,0.2985,0.2495,0.9598
ER,pitch,-8,CAM_BACK,0.4542,0.3787,0.6365,0.1597,0.3949,2.3028,0.1606,0.2891,0.2272,0.9270
ER,pitch,-8,CAM_BACK_LEFT,0.4712,0.4113,0.6227,0.1468,0.4162,2.5961,0.1586,0.2992,0.2468,0.9617
ER,pitch,-8,CAM_BACK_RIGHT,0.4858,0.4324,0.5942,0.1448,0.4063,2.4828,0.1585,0.3081,0.2594,0.9915
ER,pitch,-4,all,0.4331,0.3543,0.6875,0.1675,0.4151,2.4084,0.1703,0.2762,0.2126,0.8840
ER,pitch,-4,CAM_FRONT,0.4798,0.4227,0.6144,0.1496,0.4044,2.3449,0.1472,0.3046,0.2536,0.9792
ER,pitch,-4,CAM_FRONT_RIGHT,0.4901,0.4377,0.5932,0.1457,0.4000,2.4379,0.1490,0.3108,0.2626,1.0002
ER,pitch,-4,CAM_FRONT_LEFT,0.4796,0.4207,0.6157,0.1465,0.3988,2.4749,0.1466,0.3046,0.2524,0.9788
ER,pitch,-4,CAM_BACK,0.4766,0.4129,0.6096,0.1532,0.3797,2.3504,0.1561,0.3027,0.2477,0.9727
ER,pitch,-4,CAM_BACK_LEFT,0.4803,0.4265,0.6240,0.1454,0.4116,2.5411,0.1481,0.3049,0.2559,0.9803
ER,pitch,-4,CAM_BACK_RIGHT,0.4870,0.4330,0.6027,0.1440,0.4075,2.3851,0.1407,0.3090,0.2598,0.9939
ER,pitch,4,all,0.4216,0.3501,0.7747,0.1811,0.4004,2.5464,0.1783,0.2693,0.2101,0.8605
ER,pitch,4,CAM_FRONT,0.4744,0.4164,0.6272,0.1550,0.4082,2.3585,0.1477,0.3013,0.2498,0.9681
ER,pitch,4,CAM_FRONT_RIGHT,0.4869,0.4308,0.5992,0.1450,0.3961,2.4324,0.1448,0.3090,0.2585,0.9937
ER,pitch,4,CAM_FRONT_LEFT,0.4876,0.4366,0.6116,0.1460,0.3967,2.4740,0.1528,0.3093,0.2620,0.9951
ER,pitch,4,CAM_BACK,0.4664,0.4011,0.6431,0.1550,0.3836,2.3199,0.1603,0.2965,0.2407,0.9518
ER,pitch,4,CAM_BACK_LEFT,0.4792,0.4260,0.6203,0.1483,0.3963,2.4933,0.1727,0.3040,0.2556,0.9781
ER,pitch,4,CAM_BACK_RIGHT,0.4855,0.4283,0.6048,0.1447,0.3985,2.5374,0.1381,0.3083,0.2570,0.9909
ER,pitch,8,all,0.2931,0.1506,0.8885,0.2416,0.4694,2.6237,0.2219,0.1911,0.0903,0.5983
ER,pitch,8,CAM_FRONT,0.4513,0.3727,0.6179,0.1558,0.4231,2.3752,0.1542,0.2873,0.2236,0.9210
ER,pitch,8,CAM_FRONT_RIGHT,0.4843,0.4284,0.5921,0.1456,0.3994,2.5418,0.1616,0.3072,0.2570,0.9885
ER,pitch,8,CAM_FRONT_LEFT,0.4782,0.4168,0.6110,0.1463,0.3894,2.4837,0.1550,0.3037,0.2501,0.9760
ER,pitch,8,CAM_BACK,0.4264,0.3318,0.6491,0.1580,0.4046,2.3174,0.1830,0.2721,0.1991,0.8703
ER,pitch,8,CAM_BACK_LEFT,0.4706,0.4095,0.6137,0.1484,0.3929,2.4855,0.1869,0.2986,0.2457,0.9604
ER,pitch,8,CAM_BACK_RIGHT,0.4784,0.4166,0.6189,0.1444,0.4094,2.4000,0.1268,0.3041,0.2500,0.9763
ER,pitch,12,all,0.2322,0.0715,0.9867,0.3031,0.4899,2.5983,0.2559,0.1539,0.0429,0.4739
ER,pitch,12,CAM_FRONT,0.4481,0.3653,0.6135,0.1522,0.4230,2.3158,0.1568,0.2854,0.2192,0.9145
ER,pitch,12,CAM_FRONT_RIGHT,0.4834,0.4278,0.5975,0.1455,0.3980,2.5799,0.1638,0.3066,0.2567,0.9866
ER,pitch,12,CAM_FRONT_LEFT,0.4716,0.4086,0.6197,0.1475,0.4067,2.5266,0.1532,0.2996,0.2452,0.9625
ER,pitch,12,CAM_BACK,0.4178,0.3105,0.6562,0.1577,0.3891,2.2304,0.1715,0.2672,0.1863,0.8527
ER,pitch,12,CAM_BACK_LEFT,0.4636,0.3993,0.6256,0.1489,0.3935,2.4991,0.1917,0.2944,0.2396,0.9463
ER,pitch,12,CAM_BACK_RIGHT,0.4677,0.4022,0.6506,0.1466,0.4111,2.3900,0.1262,0.2976,0.2413,0.9545
ER,pitch,16,all,0.1969,0.0419,1.0347,0.3333,0.6096,2.6826,0.2976,0.1313,0.0252,0.4019
ER,pitch,16,CAM_FRONT,0.4446,0.3570,0.6091,0.1525,0.4270,2.3122,0.1501,0.2833,0.2142,0.9074
ER,pitch,16,CAM_FRONT_RIGHT,0.4792,0.4218,0.6100,0.1459,0.3988,2.5556,0.1628,0.3041,0.2531,0.9779
ER,pitch,16,CAM_FRONT_LEFT,0.4715,0.4064,0.6154,0.1477,0.3995,2.5244,0.1542,0.2996,0.2438,0.9623
ER,pitch,16,CAM_BACK,0.4160,0.3073,0.6344,0.1570,0.4064,2.2450,0.1790,0.2659,0.1844,0.8490
ER,pitch,16,CAM_BACK_LEFT,0.4535,0.3824,0.6444,0.1476,0.4072,2.5394,0.1778,0.2884,0.2294,0.9255
